region_id,min_no2,min_o3,min_pm10,min_pm25,avg_1month_no2,avg_1month_o3,avg_1month_pm10,avg_1month_pm25
aberdeen,-0.8234018708835833,0.36971695666470933,-0.7031602485843356,-0.6318640617490371,-0.43380510073433015,0.445783820185998,-0.13161112495533722,0.04390219787006183
barnsley,-0.7496245796492123,-0.3481584110463031,,,-0.4512275706165846,0.06746858728499228,,
belfast,-0.832167008656419,-0.2625585080188396,-0.531001930508305,-0.7517639040311448,-0.5222781306475637,0.30444161944280934,-0.11573378689489813,-0.2972477529990778
birmingham,-0.6942506626744195,-0.36985257233332597,-0.5790599307903048,-0.6191417155575605,-0.22078371827963655,0.07086122508477173,-0.2098050452518291,-0.2248976865407337
bradford,-0.7866544407737044,,,,-0.30468917184202904,,,
brighton,-0.7191241883607218,-0.36248948388655766,,,-0.28627008272763216,0.14255718570818574,,
bristol,-0.815004061557249,-0.25533569546371776,-0.4533508635973929,-0.5879121386112556,-0.47885388831038955,0.2196007802016743,0.15997185718413462,0.09405591686435354
cambridge,-0.8102112505328692,,,,-0.6351853360909384,,,
cardiff,-0.7361981760941126,-0.1835434248943525,-0.617355193751344,-0.7245780048465014,-0.42279793071005795,0.22089372199900312,-0.051990426824153516,-0.06044845929663766
chatham,-0.7158063110005738,,-0.4878146440198425,-0.8126142244749881,-0.3498332698784903,,0.04403061735540544,-0.01295810442672129
coventry,-0.6877722387557053,-0.2742660691444011,-0.6070571535702997,-0.6410731816390971,-0.4254199456466485,0.1341328837175956,-0.24009451116896616,-0.2523153980089263
derby,-0.7168225724627951,,,,-0.44962499997865235,,,
doncaster,-0.7170060970785914,,,,-0.36192557064161046,,,
dundee,-0.8156476608149794,,,,-0.31890634172298465,,,
edinburgh,-0.8298038953478005,-0.22280587093846926,-0.7874770326243518,-0.770715588471596,-0.5353830434180868,0.13823891706914268,-0.26883581676598173,-0.21033201794825568
exeter,-0.8501350652784141,-0.14354638915562568,,,-0.5575707256699648,0.3479585045626847,,
glasgow,-0.8460950062601157,-0.26244255337441486,-0.6455893152225868,-0.6438382719572021,-0.6038264121712514,0.15723288650965875,-0.17667687470934693,-0.08015071669279947
hull,-0.7634824244041523,-0.31176606322825745,-0.4817913571339244,-0.6531984093729655,-0.33411429419293676,0.15847160556736503,0.00418067178162216,0.11030919869137068
leeds,-0.7949424722462298,-0.20464639399524992,-0.6350644767900314,-0.7816231003642424,-0.5526238011095166,0.3152844803361259,-0.09187705021115934,-0.2663345473193627
leicester,-0.6904589459125854,-0.36152856761389046,-0.6231870603734521,-0.662358840715289,-0.32887197708758464,0.03180449618463669,-0.25545788890246207,-0.12506046583710315
liverpool,-0.8313754992117193,-0.28056168728441616,-0.5132330277344799,-0.8476455027527223,-0.4607017017471553,0.21409072793646927,-0.06526294040413382,-0.26655474311410854
london,-0.7268334580949619,-0.2255494852584539,-0.6322460235455533,-0.6644171773065305,-0.4050432248769062,0.298354983288284,-0.13514106670372716,-0.016588740743723292
luton,-0.7381954833781176,,,,-0.43409648351662017,,,
manchester,-0.7313802085771991,-0.1920205613408352,,-0.6504650735009658,-0.4917128209826083,0.2351667424996992,,-0.13639700896086024
middlesbrough,-0.5999748090909655,-0.3350820473850943,-0.4821649912771034,-0.7194456558577764,-0.21881305329441061,0.07205941699871761,0.047755187005776106,-0.0014283510739126367
newport,-0.7817698670073921,,-0.5661853494501351,-0.6912677075167908,-0.3218405738866898,,0.1193457394405834,0.1625529259869517
northampton,-0.7153472978174978,-0.22542490833482823,,-0.4056093502213361,-0.3115923450972767,0.053753447327604516,,0.1579203327692296
oxford,-0.7735473453312895,,-0.6582980048219641,-0.7123606061627122,-0.5560862935378643,,-0.11610603309830528,-0.1966108657099976
plymouth,-0.7682656493019036,-0.16280677748770667,-0.6824130660134643,-0.7272732038872721,-0.4185908821752055,0.4132783581481798,-0.04811842990384726,-0.043501513825727006
portsmouth,-0.7141791038331113,,-0.4078921427187199,,-0.21291650727821082,,0.2578727593516659,
preston,-0.6339055760673755,-0.15344680162797025,-0.5233335449888303,-0.7527821617201422,-0.358502776956504,0.29915058406885536,0.30788709585053,-0.04454869009511077
reading,-0.7532615241343257,-0.2885751441413271,-0.4934341742080171,-0.55729957609102,-0.47782702239480057,0.1979897646623892,0.2832410848229443,0.1441559788568982
sheffield,-0.7374945497960439,-0.21085649482466104,-0.609893256926889,-0.754492596742958,-0.4037992679376316,0.22964875086911452,-0.07652658921406359,-0.30930387127695785
southampton,-0.7120113017723857,-0.3175548984793379,-0.540117633293224,-0.6856598452966021,-0.17061704662966326,0.1115390080747535,0.15468278409002875,0.06403203436838376
sunderland,-0.768751171020181,-0.3145221170095647,,-0.8625270770263519,-0.37019406204974403,0.052956794556998046,,-0.2657637318938091
swansea,-0.8164384982179975,,-0.44213192612414315,-0.7763098538105383,-0.35952712396401965,,0.20549716217886255,-0.1600791073052828
swindon,-0.6915433230712079,,,,-0.3200311557145275,,,
telford,-0.7624347993667167,,,,-0.43067892807933833,,,
warrington,-0.7580332630794122,,-0.499279452203878,-0.8440645405987826,-0.49558172031425934,,0.11031835555965736,-0.10047664547666148
wigan,-0.70431579428673,-0.201081733204599,-0.5278900592634558,-0.6741453331872442,-0.2632299143141256,0.10425604212791555,0.1976566808536264,-0.14959794358467746
worthing,-0.7253184258267854,,,-0.7417877672986368,-0.32914103826531615,,,-0.14898372135137544
york,-0.6826011124149652,,-0.46726569780398747,-0.7104472439877514,-0.274309331163457,,0.42645017541159713,0.08456661199404063
