"region_id","process_id","unit","poll","value",".group"
"Aberdeen","Observed","µg/m3","pm25",6.76850503623188,1
"Aberdeen","Predicted","µg/m3","pm25",6.64152659359643,2
"Belfast","Observed","µg/m3","pm25",8.21464188405797,45
"Belfast","Predicted","µg/m3","pm25",13.9766894592467,46
"Birkenhead","Observed","µg/m3","pm25",11.549482826087,33
"Birkenhead","Predicted","µg/m3","pm25",13.3505913138545,34
"Birmingham","Observed","µg/m3","pm25",11.996627894159,63
"Birmingham","Predicted","µg/m3","pm25",15.8243217678849,64
"Blackpool","Observed","µg/m3","pm25",11.0124801811594,69
"Blackpool","Predicted","µg/m3","pm25",17.5198919750413,70
"Bournemouth","Observed","µg/m3","pm25",17.5432021839978,65
"Bournemouth","Predicted","µg/m3","pm25",15.8703417521874,66
"Bristol","Observed","µg/m3","pm25",13.8385902399878,35
"Bristol","Predicted","µg/m3","pm25",13.3781452262633,36
"Cardiff","Observed","µg/m3","pm25",12.2069353472614,23
"Cardiff","Predicted","µg/m3","pm25",12.2800642834577,24
"Chatham","Observed","µg/m3","pm25",19.7916796685389,73
"Chatham","Predicted","µg/m3","pm25",19.6043173120383,74
"Coventry","Observed","µg/m3","pm25",11.1962441304348,59
"Coventry","Predicted","µg/m3","pm25",15.2249953980723,60
"Edinburgh","Observed","µg/m3","pm25",6.03469597826087,5
"Edinburgh","Predicted","µg/m3","pm25",7.60780088831858,6
"Glasgow","Observed","µg/m3","pm25",6.15553644927536,3
"Glasgow","Predicted","µg/m3","pm25",7.27642024927398,4
"Hull","Observed","µg/m3","pm25",12.7834458333333,13
"Hull","Predicted","µg/m3","pm25",11.3664007226055,14
"Leeds","Observed","µg/m3","pm25",11.5116914542161,29
"Leeds","Predicted","µg/m3","pm25",12.7900725598763,30
"Leicester","Observed","µg/m3","pm25",10.2869028623188,15
"Leicester","Predicted","µg/m3","pm25",11.4840983300985,16
"Liverpool","Observed","µg/m3","pm25",11.3273760236712,39
"Liverpool","Predicted","µg/m3","pm25",13.5926089927002,40
"London","Observed","µg/m3","pm25",13.7926059066886,57
"London","Predicted","µg/m3","pm25",14.9624053799816,58
"Manchester","Observed","µg/m3","pm25",11.6509393873518,41
"Manchester","Predicted","µg/m3","pm25",13.9410740699959,42
"Middlesbrough","Observed","µg/m3","pm25",8.51463127106176,7
"Middlesbrough","Predicted","µg/m3","pm25",10.0387983132184,8
"Newport","Observed","µg/m3","pm25",13.370539384058,21
"Newport","Predicted","µg/m3","pm25",12.0578671177459,22
"Northampton","Observed","µg/m3","pm25",14.0622301094351,25
"Northampton","Predicted","µg/m3","pm25",12.3689725588414,26
"Norwich","Observed","µg/m3","pm25",11.7038101449275,9
"Norwich","Predicted","µg/m3","pm25",10.0748626137072,10
"Nottingham","Observed","µg/m3","pm25",11.7607190316206,31
"Nottingham","Predicted","µg/m3","pm25",13.0259596915293,32
"Others","Observed","µg/m3","pm25",11.6283606626146,17
"Others","Predicted","µg/m3","pm25",11.4900867048425,18
"Oxford","Observed","µg/m3","pm25",10.538902826087,27
"Oxford","Predicted","µg/m3","pm25",12.7438675609663,28
"Plymouth","Observed","µg/m3","pm25",18.4850253623188,67
"Plymouth","Predicted","µg/m3","pm25",16.8581172077864,68
"Preston","Observed","µg/m3","pm25",10.186948442029,55
"Preston","Predicted","µg/m3","pm25",14.6173115515508,56
"Reading","Observed","µg/m3","pm25",11.1921585965798,19
"Reading","Predicted","µg/m3","pm25",11.5003596150859,20
"Sheffield","Observed","µg/m3","pm25",13.6590860688406,71
"Sheffield","Predicted","µg/m3","pm25",17.5484803749414,72
"Southampton","Observed","µg/m3","pm25",16.2242990942029,61
"Southampton","Predicted","µg/m3","pm25",15.3228112385975,62
"Southend","Observed","µg/m3","pm25",13.5296038405797,49
"Southend","Predicted","µg/m3","pm25",14.1793565803062,50
"Sunderland","Observed","µg/m3","pm25",9.99438778985507,37
"Sunderland","Predicted","µg/m3","pm25",13.3890670773485,38
"Swansea","Observed","µg/m3","pm25",13.1881206022948,43
"Swansea","Predicted","µg/m3","pm25",13.9678693651094,44
"Warrington","Observed","µg/m3","pm25",12.0284688252251,53
"Warrington","Predicted","µg/m3","pm25",14.4497600012323,54
"Wigan","Observed","µg/m3","pm25",11.6040711956522,51
"Wigan","Predicted","µg/m3","pm25",14.2696217090343,52
"Worthing","Observed","µg/m3","pm25",12.7850955204216,47
"Worthing","Predicted","µg/m3","pm25",14.0857027805364,48
"York","Observed","µg/m3","pm25",10.579274533404,11
"York","Predicted","µg/m3","pm25",10.6302295137466,12
